Competition,Max Time,Seconds,Category
100k Standard Solo,0 days 06:39:30,23970.0,Road Racing
100k Standard Team,0 days 04:54:11,17651.0,Road Racing
100k Unlimited Solo,0 days 06:33:52,23632.0,Road Racing
100k Unlimited Team,0 days 06:04:01,21841.0,Road Racing
100k Unlimited Ungeared,0 days 05:45:38,20738.0,Road Racing
100m,0 days 00:00:43.053000,43.053,Track and Field
100m Expert,0 days 00:00:14.771000,14.771,Track and Field
10k Standard,0 days 01:47:16.491000,6436.491,Road Racing
10k Unlimited,0 days 01:14:16.237000,4456.237,Road Racing
10k Unlimited Ungeared,0 days 00:28:01.299000,1681.299,Road Racing
10m Wheel Walk,0 days 00:00:06.314000,6.314,Track and Field
30m Wheel Walk,0 days 00:00:29.554000,29.554,Track and Field
30m Wheel Walk Expert,0 days 00:00:08.249000,8.249,Track and Field
400m,0 days 00:03:10.855000,190.855,Track and Field
400m Expert,0 days 00:01:01.635000,61.635,Track and Field
4x100 Relay,0 days 00:01:57.194000,117.194,Track and Field
4x100 Relay Expert,0 days 00:01:06.894000,66.894,Track and Field
50m One-Foot,0 days 00:00:20.253000,20.253,Track and Field
50m One-Foot Expert,0 days 00:00:08.468000,8.468,Track and Field
800m,0 days 00:06:54.386000,414.386,Track and Field
800m Expert,0 days 00:02:10.965000,130.965,Track and Field
Cyclocross Standard,0 days 00:39:28,2368.0,Muni
Cyclocross Unlimited,0 days 00:49:45,2985.0,Muni
Downhill Gliding,0 days 00:00:49.910000,49.91,Muni
IUF Slalom,0 days 00:00:46.740000,46.74,Track and Field
IUF Slalom Expert,0 days 00:00:19.950000,19.95,Track and Field
Marathon Standard,0 days 03:22:41,12161.0,Road Racing
Marathon Unlimited,0 days 03:15:59,11759.0,Road Racing
Marathon Unlimited Ungeared,0 days 02:09:35,7775.0,Road Racing
Muni Cross Country Beginner,0 days 01:18:47,4727.0,Muni
Muni Cross Country Elite Standard,0 days 01:51:24,6684.0,Muni
Muni Cross Country Elite Unlimited,0 days 02:00:40,7240.0,Muni
Muni Downhill Advanced,0 days 00:05:05,305.0,Muni
Muni Downhill Beginner,0 days 00:11:47,707.0,Muni
Muni Downhill Elite,0 days 00:07:48,468.0,Muni
Muni Uphill,0 days 00:29:27.200000,1767.2,Muni
Slow Backward,0 days 00:01:55.560000,115.56,Track and Field
Slow Forward,0 days 00:02:53.660000,173.66,Track and Field
Slow Forward Expert,0 days 00:02:53.660000,173.66,Track and Field
Speed Trials Beginner,0 days 00:00:28.400000,28.4,Urban
Stillstand,0 days 00:35:12,2112.0,Track and Field
